Timestamp,Disease,Split_Salt,K,Best_Features,Formula,Baseline_AUC_PR,Baseline_AUC_ROC
2026-05-26 01:18:52,ra,,3,"neut_pct,lym_pct,eos_pct",logit(p) = -2.6090 + (0.0278 * neut_pct) + (0.0275 * lym_pct) + (0.0578 * eos_pct),0.0156,0.647
2026-05-26 01:18:52,ra,,4,"plt,neut_pct,lym_pct,eos_pct",logit(p) = -2.5798 + (0.0011 * plt) + (0.0245 * neut_pct) + (0.0249 * lym_pct) + (0.0504 * eos_pct),0.0161,0.657
2026-05-26 01:18:52,ra,,5,"plt,wbc,neut_pct,lym_pct,eos_pct",logit(p) = -2.5785 + (0.0011 * plt) - (0.0001 * wbc) + (0.0245 * neut_pct) + (0.0249 * lym_pct) + (0.0503 * eos_pct),0.016,0.6567
2026-05-26 01:18:52,ra,,6,"plt,wbc,neut_pct,lym_pct,eos_pct,rdw",logit(p) = -3.4350 + (0.0012 * plt) - (0.0014 * wbc) + (0.0255 * neut_pct) + (0.0264 * lym_pct) + (0.0510 * eos_pct) + (0.0513 * rdw),0.0147,0.6618
2026-05-26 01:18:52,ra,,7,"plt,wbc,neut_pct,lym_pct,eos_pct,rdw,mcv",logit(p) = -3.8986 + (0.0012 * plt) - (0.0015 * wbc) + (0.0255 * neut_pct) + (0.0268 * lym_pct) + (0.0513 * eos_pct) + (0.0525 * rdw) + (0.0046 * mcv),0.0146,0.6579
2026-05-26 01:18:52,ra,,8,"plt,wbc,neut_pct,lym_pct,eos_pct,rdw,mcv,mono_pct",logit(p) = -0.0013 + (0.0014 * plt) - (0.0090 * wbc) - (0.0085 * neut_pct) - (0.0030 * lym_pct) + (0.0357 * eos_pct) + (0.0537 * rdw) + (0.0028 * mcv) - (0.1142 * mono_pct),0.0141,0.6648
2026-05-26 01:18:52,ra,,9,"plt,wbc,neut_pct,lym_pct,eos_pct,rdw,mcv,mono_pct,mchc",logit(p) = -5.6113 + (0.0018 * plt) - (0.0078 * wbc) - (0.0036 * neut_pct) + (0.0016 * lym_pct) + (0.0412 * eos_pct) + (0.0873 * rdw) + (0.0076 * mcv) - (0.1051 * mono_pct) + (0.1234 * mchc),0.0147,0.6674
2026-05-26 01:18:52,ra,,10,"plt,wbc,neut_pct,lym_pct,eos_pct,rdw,mcv,mono_pct,mchc,hct",logit(p) = -4.7499 + (0.0018 * plt) - (0.0075 * wbc) - (0.0025 * neut_pct) + (0.0029 * lym_pct) + (0.0439 * eos_pct) + (0.0682 * rdw) + (0.0076 * mcv) - (0.1025 * mono_pct) + (0.1214 * mchc) - (0.0198 * hct),0.0153,0.6736
2026-05-26 01:18:52,ra,,11,"plt,wbc,neut_pct,lym_pct,eos_pct,rdw,mcv,mono_pct,mchc,hct,mch",logit(p) = -0.0069 + (0.0018 * plt) - (0.0075 * wbc) - (0.0036 * neut_pct) + (0.0018 * lym_pct) + (0.0426 * eos_pct) + (0.0647 * rdw) - (0.0410 * mcv) - (0.1041 * mono_pct) - (0.0172 * mchc) - (0.0206 * hct) + (0.1483 * mch),0.0151,0.6737
2026-05-26 01:18:52,ra,,12,"plt,wbc,neut_pct,lym_pct,eos_pct,rdw,mcv,mono_pct,mchc,hct,mch,rbc",logit(p) = -0.0067 + (0.0018 * plt) - (0.0075 * wbc) - (0.0036 * neut_pct) + (0.0017 * lym_pct) + (0.0426 * eos_pct) + (0.0648 * rdw) - (0.0408 * mcv) - (0.1038 * mono_pct) - (0.0157 * mchc) - (0.0193 * hct) + (0.1460 * mch) - (0.0114 * rbc),0.0151,0.6741
