formula,auc_roc,auc_pr,precision,recall,f1,f2,precision_at_recall_25,precision_at_recall_50,precision_at_recall_75,num_features
((log(abs(hct)+1)) / (abs(log(abs(mch)+1))+1e-6)) - (sqrt(abs(rbc))),0.5826,0.0165,0.0126,0.7833,0.0247,0.059,0.0119,0.0129,0.0125,3
((((((((mcv) - (sqrt(abs(rdw)))) * (log(abs(hgb)+1))) - (log(abs(mch)+1))) * ((rbc**2))) + (log(abs(wbc)+1))) + (log(abs(plt)+1))) / (abs((hct**2))+1e-6)) / (abs(mchc)+1e-6),0.5825,0.0165,0.0124,0.55,0.0243,0.0569,0.0156,0.0127,0.0118,9
(((((((((hct**2)) + (log(abs(plt)+1))) * (mch)) / (abs((hgb**2))+1e-6)) * (mchc)) - (log(abs(mcv)+1))) - (sqrt(abs(wbc)))) / (abs(rbc)+1e-6)) + (log(abs(rdw)+1)),0.5806,0.0165,0.0132,0.6133,0.0259,0.0609,0.0133,0.0129,0.012,9
(((((plt) / (abs(sqrt(abs(wbc)))+1e-6)) * ((mch**2))) * ((rdw**2))) / (abs(hgb)+1e-6)) * (sqrt(abs(rbc))),0.6344,0.0164,0.0159,0.55,0.031,0.0714,0.0197,0.0169,0.0137,6
(((((log(abs(hct)+1)) + (log(abs(rdw)+1))) + (log(abs(mchc)+1))) + (sqrt(abs(plt)))) / (abs((wbc**2))+1e-6)) + ((rbc**2)),0.5835,0.0164,0.0127,0.6933,0.025,0.0592,0.0123,0.0132,0.0124,6
((((mch) / (abs(hct)+1e-6)) + ((rbc**2))) * (sqrt(abs(hgb)))) / (abs(log(abs(mchc)+1))+1e-6),0.5852,0.0164,0.0127,0.7733,0.025,0.0596,0.0126,0.0132,0.0127,5
(((((((log(abs(mchc)+1)) * (log(abs(rdw)+1))) + (log(abs(mcv)+1))) + ((hct**2))) / (abs((wbc**2))+1e-6)) / (abs(sqrt(abs(plt)))+1e-6)) + (log(abs(hgb)+1))) + ((rbc**2)),0.5835,0.0164,0.013,0.7433,0.0255,0.0606,0.0128,0.0132,0.0123,8
((((((((sqrt(abs(hgb))) + (sqrt(abs(plt)))) * (log(abs(rdw)+1))) - (sqrt(abs(mcv)))) + (log(abs(mchc)+1))) - (sqrt(abs(wbc)))) * (mch)) / (abs(log(abs(hct)+1))+1e-6)) + (log(abs(rbc)+1)),0.6254,0.0164,0.0154,0.5833,0.03,0.0697,0.02,0.016,0.0127,9
((((rbc**2)) - (sqrt(abs(mcv)))) * (sqrt(abs(hct)))) - (sqrt(abs(mch))),0.5861,0.0164,0.013,0.7033,0.0255,0.0605,0.0128,0.0131,0.0127,4
(((((((((rbc**2)) * (sqrt(abs(rdw)))) - (mch)) * ((hct**2))) - (log(abs(mchc)+1))) + (log(abs(wbc)+1))) / (abs((hgb**2))+1e-6)) + (sqrt(abs(plt)))) / (abs(mcv)+1e-6),0.5711,0.0164,0.0127,0.51,0.0248,0.0577,0.0123,0.0125,0.0118,9
((((hgb) + (mcv)) / (abs(sqrt(abs(mchc)))+1e-6)) / (abs((rbc**2))+1e-6)) / (abs(rdw)+1e-6),0.551,0.0164,0.0118,0.6867,0.0233,0.0554,0.0116,0.0125,0.0113,5
(((log(abs(hct)+1)) / (abs(log(abs(rdw)+1))+1e-6)) / (abs(mcv)+1e-6)) / (abs(mch)+1e-6),0.5777,0.0163,0.0128,0.4433,0.0248,0.0573,0.0153,0.0129,0.0118,4
((((((log(abs(wbc)+1)) / (abs(sqrt(abs(hgb)))+1e-6)) + (sqrt(abs(mchc)))) - (sqrt(abs(rdw)))) - (log(abs(mcv)+1))) / (abs((mch**2))+1e-6)) * ((rbc**2)),0.5578,0.0163,0.0119,0.6267,0.0234,0.0554,0.0125,0.0123,0.0112,7
((((((hgb**2)) - (sqrt(abs(rbc)))) - (mch)) * ((hct**2))) / (abs(mcv)+1e-6)) / (abs(log(abs(plt)+1))+1e-6),0.5828,0.0163,0.0134,0.7333,0.0264,0.0626,0.0133,0.0128,0.0126,6
(((((rbc) - (log(abs(hgb)+1))) * ((mch**2))) * (mcv)) / (abs(sqrt(abs(rdw)))+1e-6)) * ((hct**2)),0.5819,0.0163,0.0135,0.67,0.0264,0.0624,0.0132,0.0128,0.0126,6
((((((((sqrt(abs(rbc))) - ((mch**2))) * (plt)) * ((mcv**2))) - (sqrt(abs(wbc)))) * ((mchc**2))) + (sqrt(abs(rdw)))) * (log(abs(hct)+1))) / (abs((hgb**2))+1e-6),0.6182,0.0163,0.0144,0.5233,0.0281,0.065,0.0196,0.015,0.0126,9
((((((((log(abs(hgb)+1)) / (abs(log(abs(mchc)+1))+1e-6)) / (abs((wbc**2))+1e-6)) / (abs(log(abs(hct)+1))+1e-6)) - (log(abs(rbc)+1))) * ((rdw**2))) * (sqrt(abs(plt)))) * ((mch**2))) / (abs(log(abs(mcv)+1))+1e-6),0.6408,0.0163,0.0164,0.6067,0.032,0.0741,0.0194,0.0169,0.0135,9
((((sqrt(abs(wbc))) * (sqrt(abs(rbc)))) + (hct)) / (abs(log(abs(plt)+1))+1e-6)) / (abs((mchc**2))+1e-6),0.6094,0.0163,0.0135,0.6767,0.0264,0.0624,0.019,0.0154,0.0124,5
((((((((plt) / (abs(log(abs(wbc)+1))+1e-6)) * ((mcv**2))) + ((hct**2))) + (sqrt(abs(hgb)))) * ((rdw**2))) + ((mch**2))) / (abs(log(abs(mchc)+1))+1e-6)) / (abs(rbc)+1e-6),0.638,0.0162,0.0155,0.62,0.0302,0.0703,0.0194,0.0165,0.0136,9
((((((log(abs(plt)+1)) * (sqrt(abs(mchc)))) - ((hgb**2))) - ((mch**2))) / (abs(sqrt(abs(rdw)))+1e-6)) * (sqrt(abs(mcv)))) / (abs((rbc**2))+1e-6),0.5637,0.0162,0.0121,0.6267,0.0238,0.0563,0.0131,0.0121,0.0114,7
(((((mchc) + ((mch**2))) * (plt)) + ((rdw**2))) - (sqrt(abs(hgb)))) / (abs(hct)+1e-6),0.612,0.0162,0.0136,0.63,0.0266,0.0626,0.0199,0.0144,0.0124,6
((((((rdw) / (abs(mcv)+1e-6)) + (hct)) + (log(abs(mch)+1))) / (abs((rbc**2))+1e-6)) - (sqrt(abs(hgb)))) + (log(abs(wbc)+1)),0.5675,0.0162,0.012,0.6967,0.0236,0.0563,0.0123,0.0121,0.012,7
(((((log(abs(wbc)+1)) + ((mch**2))) - (sqrt(abs(rdw)))) / (abs(log(abs(mchc)+1))+1e-6)) - (sqrt(abs(mcv)))) / (abs(sqrt(abs(hct)))+1e-6),0.5668,0.0162,0.0121,0.51,0.0237,0.0553,0.0146,0.0122,0.0115,6
(((log(abs(mcv)+1)) / (abs(rdw)+1e-6)) - (log(abs(hgb)+1))) + (log(abs(mch)+1)),0.5637,0.0162,0.012,0.6933,0.0235,0.0559,0.0117,0.0129,0.0117,4
(((((((hgb) / (abs(mch)+1e-6)) - ((mchc**2))) * (sqrt(abs(mcv)))) - (hct)) - (log(abs(rdw)+1))) * (sqrt(abs(plt)))) / (abs((rbc**2))+1e-6),0.6161,0.0161,0.0141,0.62,0.0275,0.0646,0.017,0.0154,0.0129,8
(((((plt) + (sqrt(abs(hgb)))) / (abs(rbc)+1e-6)) + (log(abs(mcv)+1))) * ((mch**2))) / (abs(log(abs(mchc)+1))+1e-6),0.6156,0.0161,0.0138,0.5767,0.027,0.0632,0.0204,0.0148,0.0126,6
(((rbc) - (sqrt(abs(plt)))) * ((mchc**2))) * ((rdw**2)),0.6448,0.0161,0.0152,0.6533,0.0296,0.0694,0.0186,0.0176,0.014,4
(((rbc) + (log(abs(rdw)+1))) - (log(abs(mchc)+1))) / (abs(log(abs(plt)+1))+1e-6),0.5945,0.0161,0.0131,0.6867,0.0257,0.0608,0.0145,0.0144,0.0123,4
((sqrt(abs(plt))) / (abs(hct)+1e-6)) + (rbc),0.5741,0.0161,0.0129,0.67,0.0254,0.06,0.0122,0.0126,0.0124,3
((((((mchc) * (log(abs(mcv)+1))) - ((rbc**2))) - (sqrt(abs(mch)))) * (rdw)) + (plt)) - (log(abs(hgb)+1)),0.6618,0.0161,0.0169,0.6833,0.033,0.077,0.0185,0.0181,0.0148,7
((((((log(abs(mcv)+1)) * (log(abs(mch)+1))) + (log(abs(rdw)+1))) - (log(abs(rbc)+1))) + (log(abs(plt)+1))) + (log(abs(hgb)+1))) - (sqrt(abs(hct))),0.621,0.0161,0.0145,0.5733,0.0282,0.0657,0.0178,0.0153,0.0127,7
(((hct) * ((mcv**2))) - (log(abs(mchc)+1))) / (abs((hgb**2))+1e-6),0.5586,0.0161,0.0119,0.67,0.0234,0.0555,0.0113,0.0123,0.0117,4
((((((mch) * (log(abs(hct)+1))) * (log(abs(plt)+1))) / (abs((rbc**2))+1e-6)) - (sqrt(abs(wbc)))) * ((mchc**2))) + (log(abs(mcv)+1)),0.6039,0.0161,0.014,0.52,0.0272,0.0631,0.0158,0.0142,0.0123,7
((((((((plt) * (sqrt(abs(rdw)))) * (mch)) / (abs(hct)+1e-6)) * (log(abs(mcv)+1))) / (abs(sqrt(abs(wbc)))+1e-6)) - (sqrt(abs(hgb)))) * (sqrt(abs(rbc)))) - (log(abs(mchc)+1)),0.6066,0.0161,0.0139,0.6,0.0272,0.0636,0.0179,0.0147,0.0126,9
((((((wbc**2)) * (hct)) - (sqrt(abs(mch)))) / (abs((mchc**2))+1e-6)) - (sqrt(abs(rdw)))) * ((plt**2)),0.581,0.0161,0.0131,0.57,0.0256,0.0599,0.0192,0.0138,0.011,6
(((rdw) * (log(abs(hgb)+1))) * ((rbc**2))) / (abs(mchc)+1e-6),0.5626,0.016,0.0118,0.6933,0.0232,0.0552,0.012,0.0131,0.0116,4
((((((((log(abs(rdw)+1)) * (log(abs(mch)+1))) - (hgb)) - ((wbc**2))) * (sqrt(abs(rbc)))) + ((mcv**2))) + (plt)) / (abs(sqrt(abs(mchc)))+1e-6)) - ((hct**2)),0.5864,0.016,0.013,0.7467,0.0255,0.0607,0.0137,0.0131,0.0127,9
((((mcv) / (abs(log(abs(rbc)+1))+1e-6)) * (sqrt(abs(plt)))) + (wbc)) + ((mchc**2)),0.6166,0.016,0.0152,0.5567,0.0296,0.0684,0.0196,0.0155,0.0124,5
(((((((log(abs(mcv)+1)) + (sqrt(abs(mch)))) + (plt)) - (hgb)) - (log(abs(wbc)+1))) * ((mchc**2))) / (abs(sqrt(abs(rbc)))+1e-6)) / (abs(hct)+1e-6),0.6084,0.016,0.0138,0.6133,0.0271,0.0634,0.0185,0.0154,0.0122,8
((((((log(abs(mch)+1)) + ((hct**2))) * (sqrt(abs(hgb)))) * (rbc)) - ((mcv**2))) / (abs(log(abs(rdw)+1))+1e-6)) + ((wbc**2)),0.5882,0.016,0.0133,0.6967,0.026,0.0617,0.0127,0.0132,0.0128,7
((((((log(abs(hgb)+1)) / (abs(sqrt(abs(mcv)))+1e-6)) + (mch)) - ((rbc**2))) * (plt)) + (sqrt(abs(wbc)))) * (hct),0.6198,0.016,0.0157,0.5233,0.0306,0.0702,0.0185,0.0155,0.0124,7
