formula,train_auc_pr,cv_auc_pr_mean,cv_auc_pr_std,cv_auc_pr_ci95_low,cv_auc_pr_ci95_high,frozen_test_auc_pr
((((((((baso_pct**2)) * ((wbc**2))) / (abs(neut_pct)+1e-6)) - ((mono_pct**2))) + (mcv)) / (abs(sqrt(abs(hgb)))+1e-6)) * (sqrt(abs(lym_pct)))) * ((plt**2)),0.0156841170805607,0.01652,0.002872,0.010892,0.022149,
((((((((((((((rdw**2)) - (mcv)) * (log(abs(hct)+1))) * (rbc)) / (abs((neut_pct**2))+1e-6)) * (log(abs(lym_pct)+1))) - ((baso_pct**2))) - ((hgb**2))) * ((wbc**2))) / (abs(log(abs(mch)+1))+1e-6)) * ((mono_pct**2))) - (sqrt(abs(plt)))) * (log(abs(eos_pct)+1))) - (sqrt(abs(mchc))),0.015546032767793469,0.016519,0.008658,-0.000451,0.033489,
((((((log(abs(mcv)+1)) + (sqrt(abs(wbc)))) / (abs(log(abs(eos_pct)+1))+1e-6)) / (abs(sqrt(abs(neut_pct)))+1e-6)) - (mch)) + (plt)) - (sqrt(abs(mchc))),0.01585358901883195,0.016482,0.006481,0.00378,0.029184,
(((((((eos_pct) + ((plt**2))) / (abs(sqrt(abs(mch)))+1e-6)) + (sqrt(abs(neut_pct)))) / (abs((mono_pct**2))+1e-6)) - (wbc)) * ((rdw**2))) / (abs(sqrt(abs(hct)))+1e-6),0.014429927121844361,0.016467,0.004897,0.006869,0.026065,
(((((sqrt(abs(hct))) + (log(abs(baso_pct)+1))) - (rbc)) + (log(abs(mch)+1))) - (mono_pct)) * (sqrt(abs(eos_pct))),0.014751674525870801,0.0164,0.00363,0.009285,0.023516,
((((((((((log(abs(wbc)+1)) / (abs(neut_pct)+1e-6)) - (sqrt(abs(eos_pct)))) * (sqrt(abs(plt)))) / (abs(mchc)+1e-6)) / (abs(log(abs(hct)+1))+1e-6)) / (abs(log(abs(rdw)+1))+1e-6)) - (log(abs(mono_pct)+1))) - (log(abs(rbc)+1))) * (mcv)) - ((baso_pct**2)),0.015597691400033736,0.016346,0.007491,0.001665,0.031028,
(((((((eos_pct) + (plt)) / (abs(log(abs(mcv)+1))+1e-6)) + (sqrt(abs(mch)))) - ((mono_pct**2))) - (log(abs(wbc)+1))) + (neut_pct)) + (baso_pct),0.015158836762622686,0.016251,0.002647,0.011062,0.02144,
((((((((((((rbc) - ((hgb**2))) - (log(abs(mch)+1))) - (log(abs(wbc)+1))) * (sqrt(abs(plt)))) - (log(abs(lym_pct)+1))) / (abs(eos_pct)+1e-6)) - ((mchc**2))) - (sqrt(abs(rdw)))) / (abs(log(abs(hct)+1))+1e-6)) + (baso_pct)) / (abs(sqrt(abs(neut_pct)))+1e-6)) - ((mono_pct**2)),0.014422917433031781,0.016123,0.005004,0.006316,0.02593,
(((((((((((((baso_pct) + (log(abs(mchc)+1))) / (abs(hgb)+1e-6)) * ((mono_pct**2))) - (mch)) * (log(abs(eos_pct)+1))) - (lym_pct)) * (sqrt(abs(plt)))) - (neut_pct)) / (abs(sqrt(abs(rdw)))+1e-6)) + (hct)) / (abs(log(abs(wbc)+1))+1e-6)) / (abs(sqrt(abs(mcv)))+1e-6)) + (rbc),0.014762297698145728,0.016108,0.002987,0.010253,0.021962,
((((((((((log(abs(rdw)+1)) / (abs((plt**2))+1e-6)) + (log(abs(mchc)+1))) / (abs(log(abs(lym_pct)+1))+1e-6)) / (abs(log(abs(mono_pct)+1))+1e-6)) - ((mch**2))) - (rbc)) * (neut_pct)) / (abs((eos_pct**2))+1e-6)) + (baso_pct)) + (sqrt(abs(wbc))),0.014633027304842828,0.015896,0.006812,0.002545,0.029247,
