formula,auc_roc,auc_pr,precision,recall,f1,f2,precision_at_recall_25,precision_at_recall_50,precision_at_recall_75,num_features
(((((((log(abs(mcv)+1)) * ((mchc**2))) * (hct)) / (abs(log(abs(hgb)+1))+1e-6)) - (log(abs(plt)+1))) / (abs((rbc**2))+1e-6)) * (mch)) - (sqrt(abs(rdw))),0.5465,0.014,0.0064,0.4691,0.0126,0.0303,0.0068,0.0064,0.006,8
(rbc) - (sqrt(abs(mch))),0.5375,0.014,0.0063,0.5432,0.0124,0.0301,0.0061,0.0062,0.006,2
(((((((rbc) / (abs(log(abs(plt)+1))+1e-6)) - (log(abs(mcv)+1))) / (abs(hgb)+1e-6)) * ((mch**2))) * (mchc)) + ((hct**2))) - (log(abs(wbc)+1)),0.5496,0.014,0.0064,0.4383,0.0127,0.0304,0.0062,0.0064,0.006,8
((rbc**2)) / (abs(hct)+1e-6),0.5199,0.014,0.0056,0.5062,0.0112,0.027,0.0057,0.0058,0.0059,2
((hgb) - (mch)) / (abs(mchc)+1e-6),0.5086,0.014,0.0057,0.4506,0.0113,0.0271,0.0053,0.0056,0.0057,3
(((((mcv) + ((wbc**2))) + ((rdw**2))) * ((rbc**2))) / (abs(log(abs(hgb)+1))+1e-6)) / (abs((mch**2))+1e-6),0.5121,0.014,0.0062,0.2222,0.012,0.0277,0.0062,0.0056,0.0059,6
((((((mchc) + (log(abs(wbc)+1))) * (log(abs(plt)+1))) - (mcv)) - (log(abs(rdw)+1))) + (log(abs(hct)+1))) - (rbc),0.5499,0.0139,0.007,0.4321,0.0137,0.0327,0.0085,0.0064,0.0056,7
((hgb) / (abs((mcv**2))+1e-6)) / (abs(mchc)+1e-6),0.5151,0.0139,0.0057,0.5247,0.0112,0.0272,0.0054,0.0057,0.0059,3
((mch) / (abs(sqrt(abs(rbc)))+1e-6)) - (log(abs(hct)+1)),0.5361,0.0139,0.0057,0.3889,0.0111,0.0267,0.0064,0.006,0.0059,3
((mcv) - (sqrt(abs(mchc)))) / (abs(rbc)+1e-6),0.5144,0.0139,0.0056,0.5123,0.011,0.0267,0.0054,0.0056,0.0059,3
((((((((log(abs(rdw)+1)) + (mch)) * (log(abs(hgb)+1))) + (sqrt(abs(mcv)))) - (sqrt(abs(wbc)))) * (sqrt(abs(hct)))) * (mchc)) / (abs((rbc**2))+1e-6)) - (plt),0.5327,0.0139,0.0069,0.3272,0.0134,0.0317,0.007,0.0063,0.0057,9
((((mcv**2)) + (plt)) / (abs((rbc**2))+1e-6)) - (sqrt(abs(mchc))),0.5175,0.0139,0.0055,0.5247,0.0109,0.0264,0.0052,0.0058,0.006,4
((((((wbc) + (sqrt(abs(hgb)))) * (log(abs(rdw)+1))) + (sqrt(abs(plt)))) - (log(abs(hct)+1))) + ((mcv**2))) / (abs((rbc**2))+1e-6),0.5164,0.0139,0.0057,0.5123,0.0112,0.0271,0.0055,0.0057,0.0059,7
((rbc**2)) / (abs((mcv**2))+1e-6),0.5163,0.0139,0.0056,0.5123,0.0111,0.0269,0.0055,0.0056,0.0059,2
(rbc) / (abs(mcv)+1e-6),0.5163,0.0139,0.0056,0.5123,0.0111,0.0269,0.0055,0.0056,0.0059,2
((((((mchc) * (rbc)) * ((mcv**2))) / (abs((hgb**2))+1e-6)) - (sqrt(abs(hct)))) - ((rdw**2))) * (mch),0.5123,0.0139,0.0055,0.5123,0.0109,0.0265,0.0055,0.0057,0.0059,7
(((((mcv) - (sqrt(abs(hgb)))) / (abs(sqrt(abs(mchc)))+1e-6)) / (abs(log(abs(hct)+1))+1e-6)) + (sqrt(abs(wbc)))) - (mch),0.5366,0.0138,0.006,0.3086,0.0117,0.0278,0.0064,0.0061,0.0059,6
((((((mchc**2)) * ((mch**2))) / (abs(log(abs(mcv)+1))+1e-6)) / (abs((rbc**2))+1e-6)) - (sqrt(abs(wbc)))) / (abs(log(abs(rdw)+1))+1e-6),0.5513,0.0138,0.0067,0.4877,0.0133,0.0318,0.0065,0.0068,0.006,6
((sqrt(abs(hgb))) - (sqrt(abs(mcv)))) * (log(abs(mchc)+1)),0.5042,0.0138,0.0049,0.0247,0.0082,0.0137,0.0054,0.0055,0.0057,3
((((((log(abs(hct)+1)) * ((mcv**2))) / (abs((rbc**2))+1e-6)) / (abs(log(abs(mch)+1))+1e-6)) - (wbc)) + ((hgb**2))) + (log(abs(mchc)+1)),0.5044,0.0138,0.0058,0.7037,0.0116,0.0282,0.0055,0.0056,0.0057,7
(rbc) / (abs((mcv**2))+1e-6),0.5031,0.0138,0.0056,0.5185,0.0111,0.0269,0.0054,0.0056,0.0056,2
((((((sqrt(abs(hgb))) / (abs((plt**2))+1e-6)) + (sqrt(abs(rdw)))) + (hct)) - ((mcv**2))) / (abs((rbc**2))+1e-6)) / (abs(mchc)+1e-6),0.5063,0.0138,0.0051,0.0864,0.0096,0.0205,0.0052,0.0055,0.0059,7
(mch) - (sqrt(abs(mcv))),0.5355,0.0138,0.0059,0.4074,0.0116,0.0277,0.0067,0.0061,0.0062,2
(((((((((wbc**2)) / (abs((mcv**2))+1e-6)) * (rdw)) - (sqrt(abs(mchc)))) * (log(abs(hct)+1))) * (sqrt(abs(mch)))) / (abs((rbc**2))+1e-6)) - (hgb)) + (sqrt(abs(plt))),0.5083,0.0138,0.0059,0.4259,0.0117,0.028,0.0066,0.0058,0.0054,9
(sqrt(abs(mcv))) - (mch),0.5355,0.0138,0.0059,0.4074,0.0116,0.0277,0.0067,0.0061,0.0062,2
((((((log(abs(wbc)+1)) - (sqrt(abs(mch)))) * (log(abs(hct)+1))) / (abs(log(abs(hgb)+1))+1e-6)) / (abs(sqrt(abs(rdw)))+1e-6)) - (mcv)) / (abs(sqrt(abs(rbc)))+1e-6),0.503,0.0138,0.0056,0.5185,0.0111,0.0268,0.0054,0.0056,0.0056,7
((log(abs(mch)+1)) * (sqrt(abs(mcv)))) / (abs(log(abs(hgb)+1))+1e-6),0.5071,0.0138,0.0055,0.4444,0.0109,0.0262,0.0056,0.0055,0.0057,3
(((rbc) * ((mchc**2))) - ((mch**2))) * (hct),0.5125,0.0138,0.0056,1.0,0.0111,0.0272,0.0054,0.0057,0.0057,4
(sqrt(abs(rbc))) / (abs(mch)+1e-6),0.5337,0.0138,0.0058,0.4012,0.0115,0.0275,0.0065,0.0058,0.0058,2
(((((log(abs(mchc)+1)) * (mch)) + (log(abs(plt)+1))) + (log(abs(hct)+1))) + (sqrt(abs(mcv)))) - (hgb),0.5386,0.0137,0.0058,0.3889,0.0114,0.0272,0.0067,0.0057,0.0061,6
((((((log(abs(hgb)+1)) + (mcv)) - (rdw)) - ((mch**2))) + (log(abs(wbc)+1))) * (log(abs(mchc)+1))) + (log(abs(rbc)+1)),0.536,0.0137,0.0059,0.4074,0.0117,0.0279,0.0065,0.0062,0.0062,7
(((((sqrt(abs(plt))) - (sqrt(abs(wbc)))) - ((mch**2))) * (sqrt(abs(mchc)))) + (log(abs(mcv)+1))) - (hct),0.5371,0.0137,0.006,0.3889,0.0119,0.0284,0.0067,0.0061,0.0062,6
(((mch**2)) / (abs(log(abs(hct)+1))+1e-6)) - (mchc),0.5303,0.0137,0.0055,0.4691,0.0109,0.0264,0.0072,0.0055,0.006,3
((log(abs(hgb)+1)) / (abs(mch)+1e-6)) / (abs(log(abs(mchc)+1))+1e-6),0.5435,0.0137,0.0061,0.4198,0.012,0.0288,0.0068,0.0062,0.0059,3
(log(abs(rbc)+1)) - (log(abs(mch)+1)),0.5356,0.0137,0.0057,0.3704,0.0111,0.0267,0.0061,0.0062,0.0058,2
(((((((((mch**2)) * (sqrt(abs(mchc)))) - (log(abs(hgb)+1))) - (log(abs(rdw)+1))) + (log(abs(mcv)+1))) + (log(abs(wbc)+1))) - (log(abs(plt)+1))) - (sqrt(abs(rbc)))) - (sqrt(abs(hct))),0.5379,0.0137,0.0061,0.3951,0.0121,0.0289,0.0067,0.0061,0.0062,9
((((((sqrt(abs(plt))) / (abs(log(abs(mchc)+1))+1e-6)) * (log(abs(hct)+1))) + (mcv)) / (abs(wbc)+1e-6)) - ((mch**2))) / (abs(log(abs(hgb)+1))+1e-6),0.5287,0.0137,0.0059,0.5432,0.0116,0.0281,0.0071,0.0054,0.006,7
(((((((hgb) / (abs((mcv**2))+1e-6)) * (log(abs(hct)+1))) - ((mch**2))) * (mchc)) / (abs(sqrt(abs(rbc)))+1e-6)) - (sqrt(abs(wbc)))) - (sqrt(abs(plt))),0.548,0.0137,0.0059,0.4074,0.0116,0.0279,0.0074,0.0059,0.0062,8
(log(abs(hct)+1)) / (abs((mch**2))+1e-6),0.5335,0.0137,0.0056,0.4753,0.0111,0.0268,0.0071,0.0056,0.0061,2
((((((((hgb) - (sqrt(abs(wbc)))) + (sqrt(abs(rdw)))) - (mcv)) / (abs(rbc)+1e-6)) * ((mch**2))) + ((hct**2))) + (plt)) + (mchc),0.5212,0.0137,0.0058,0.6667,0.0114,0.0278,0.006,0.0057,0.0057,9
((((((log(abs(wbc)+1)) / (abs(mcv)+1e-6)) * (sqrt(abs(hct)))) + (log(abs(rdw)+1))) - ((mch**2))) / (abs(sqrt(abs(rbc)))+1e-6)) + (sqrt(abs(plt))),0.5301,0.0137,0.0061,0.5802,0.012,0.0291,0.0071,0.0056,0.0059,7
(((((((sqrt(abs(mcv))) - (hgb)) * (sqrt(abs(rbc)))) + (wbc)) / (abs(plt)+1e-6)) + ((mch**2))) * (sqrt(abs(mchc)))) - (sqrt(abs(rdw))),0.5379,0.0137,0.0061,0.3951,0.0121,0.0289,0.0067,0.0061,0.0062,8
(mch) * (log(abs(mchc)+1)),0.5385,0.0137,0.0061,0.3951,0.012,0.0286,0.0067,0.0061,0.0062,2
((((mcv) * (log(abs(rdw)+1))) - ((mch**2))) + (mchc)) + (log(abs(plt)+1)),0.5276,0.0137,0.0057,0.3951,0.0112,0.0268,0.0063,0.006,0.0061,5
(((sqrt(abs(hct))) * ((mcv**2))) * (mch)) / (abs((hgb**2))+1e-6),0.5034,0.0137,0.004,0.0679,0.0075,0.0161,0.0052,0.0055,0.0059,4
(((mch**2)) * (sqrt(abs(mchc)))) + (log(abs(plt)+1)),0.5379,0.0137,0.0061,0.3951,0.0121,0.0288,0.0067,0.0061,0.0062,3
(log(abs(mchc)+1)) * (mch),0.5385,0.0137,0.0061,0.3951,0.012,0.0286,0.0067,0.0061,0.0062,2
((((sqrt(abs(plt))) / (abs(log(abs(hct)+1))+1e-6)) * ((mchc**2))) + (sqrt(abs(mch)))) + (log(abs(rbc)+1)),0.5464,0.0137,0.007,0.4383,0.0139,0.0331,0.0083,0.0064,0.0056,5
((((((sqrt(abs(plt))) / (abs(sqrt(abs(rdw)))+1e-6)) * (rbc)) - ((wbc**2))) - (log(abs(mcv)+1))) + ((mch**2))) * (sqrt(abs(mchc))),0.5361,0.0137,0.0064,0.3951,0.0126,0.0301,0.0069,0.0064,0.006,7
((sqrt(abs(hct))) / (abs(rbc)+1e-6)) * ((mchc**2)),0.5841,0.0137,0.0072,0.4506,0.0142,0.034,0.008,0.0069,0.0065,3
(((((hgb) + ((mch**2))) - (log(abs(mchc)+1))) + (log(abs(plt)+1))) - (wbc)) / (abs(log(abs(hct)+1))+1e-6),0.5337,0.0137,0.0057,0.4753,0.0112,0.0271,0.0072,0.0058,0.0061,6
(log(abs(plt)+1)) + (mch),0.5271,0.0137,0.0057,0.358,0.0112,0.0267,0.0066,0.0057,0.0059,2
((((log(abs(plt)+1)) + ((mch**2))) / (abs(log(abs(hgb)+1))+1e-6)) - (rbc)) - (sqrt(abs(mchc))),0.5286,0.0137,0.0058,0.5432,0.0116,0.028,0.0068,0.0054,0.006,5
(((((((sqrt(abs(mchc))) * (sqrt(abs(rbc)))) + (sqrt(abs(hct)))) / (abs((wbc**2))+1e-6)) - (log(abs(mcv)+1))) / (abs(hgb)+1e-6)) / (abs(log(abs(rdw)+1))+1e-6)) - (log(abs(mch)+1)),0.5202,0.0137,0.0055,0.5432,0.0108,0.0262,0.0067,0.0056,0.006,8
(((log(abs(plt)+1)) + (hgb)) - ((mch**2))) / (abs(log(abs(hct)+1))+1e-6),0.5335,0.0137,0.0055,0.463,0.011,0.0265,0.0071,0.0056,0.0061,4
