formula,auc_roc,auc_pr,precision,recall,f1,f2,precision_at_recall_25,precision_at_recall_50,precision_at_recall_75,num_features
(((((((mchc) * (log(abs(plt)+1))) - (rbc)) + (log(abs(rdw)+1))) + (mch)) * (log(abs(hct)+1))) - (log(abs(wbc)+1))) / (abs(sqrt(abs(hgb)))+1e-6),0.648,0.0178,0.0172,0.6188,0.0335,0.0775,0.023,0.0181,0.0145,8
(((((((mchc**2)) / (abs(mcv)+1e-6)) / (abs(log(abs(hct)+1))+1e-6)) - (log(abs(hgb)+1))) / (abs(mch)+1e-6)) * ((plt**2))) - ((rdw**2)),0.6425,0.0177,0.016,0.6687,0.0312,0.0729,0.0215,0.019,0.0145,7
(mchc) + (sqrt(abs(plt))),0.6397,0.0177,0.018,0.5687,0.0348,0.0797,0.0191,0.0181,0.0144,2
((((sqrt(abs(plt))) * (sqrt(abs(hct)))) - ((rdw**2))) + (mch)) - ((hgb**2)),0.599,0.0177,0.0139,0.6813,0.0272,0.0642,0.0188,0.0148,0.0125,5
((((((((log(abs(rdw)+1)) - (log(abs(rbc)+1))) - (sqrt(abs(mch)))) / (abs((wbc**2))+1e-6)) - (sqrt(abs(mcv)))) + (sqrt(abs(hgb)))) - (sqrt(abs(plt)))) + (log(abs(hct)+1))) - (mchc),0.6454,0.0177,0.0177,0.6375,0.0345,0.0798,0.0213,0.0181,0.0145,9
(sqrt(abs(mchc))) * (log(abs(plt)+1)),0.6333,0.0176,0.0178,0.5563,0.0345,0.079,0.0194,0.0177,0.0139,2
((((((sqrt(abs(wbc))) + (sqrt(abs(mcv)))) - (rbc)) - (sqrt(abs(rdw)))) + (mchc)) * (log(abs(plt)+1))) - (mch),0.639,0.0176,0.0181,0.4781,0.0349,0.0786,0.0201,0.0176,0.014,7
((((mchc**2)) + (plt)) / (abs(log(abs(hct)+1))+1e-6)) / (abs(mcv)+1e-6),0.6401,0.0176,0.0182,0.5375,0.0352,0.0801,0.0216,0.0185,0.0144,4
(sqrt(abs(mchc))) + (log(abs(plt)+1)),0.6339,0.0175,0.018,0.5687,0.0349,0.0799,0.0189,0.0179,0.014,2
(((((((log(abs(mch)+1)) + (log(abs(mcv)+1))) + (log(abs(hct)+1))) - (plt)) / (abs(rdw)+1e-6)) + (sqrt(abs(rbc)))) + (log(abs(wbc)+1))) - (mchc),0.6304,0.0175,0.0174,0.5625,0.0337,0.0772,0.0198,0.0173,0.0137,8
((((sqrt(abs(plt))) / (abs(hct)+1e-6)) / (abs((rdw**2))+1e-6)) / (abs(rbc)+1e-6)) * (log(abs(hgb)+1)),0.6215,0.0175,0.0163,0.4531,0.0314,0.0711,0.0198,0.0162,0.0134,5
