formula,train_auc_pr,cv_auc_pr_mean,cv_auc_pr_std,cv_auc_pr_ci95_low,cv_auc_pr_ci95_high,frozen_test_auc_pr
((((((((((((hgb**2)) - (neut_pct)) / (abs(mcv)+1e-6)) - (log(abs(wbc)+1))) / (abs((baso_pct**2))+1e-6)) - (log(abs(mch)+1))) + (sqrt(abs(rdw)))) / (abs((plt**2))+1e-6)) + (eos_pct)) / (abs((hct**2))+1e-6)) - ((mono_pct**2))) + ((mchc**2)),0.014704555026075143,0.01674,0.005397,0.006162,0.027317,
(((((hgb**2)) / (abs(sqrt(abs(baso_pct)))+1e-6)) / (abs(neut_pct)+1e-6)) - ((mchc**2))) / (abs(log(abs(mch)+1))+1e-6),0.0140815495191898,0.016613,0.006581,0.003713,0.029512,
((((sqrt(abs(mch))) - (eos_pct)) / (abs((hgb**2))+1e-6)) - ((neut_pct**2))) * (log(abs(lym_pct)+1)),0.014534035816496536,0.016597,0.007168,0.002547,0.030647,
(((((((((((((log(abs(eos_pct)+1)) / (abs(sqrt(abs(hct)))+1e-6)) * ((baso_pct**2))) / (abs(wbc)+1e-6)) - (sqrt(abs(rbc)))) * (mono_pct)) * ((neut_pct**2))) + (hgb)) * ((rdw**2))) / (abs((mch**2))+1e-6)) / (abs(lym_pct)+1e-6)) - ((mcv**2))) - (sqrt(abs(mchc)))) / (abs(log(abs(plt)+1))+1e-6),0.014750443022697828,0.016511,0.004101,0.008473,0.024549,
((((((mono_pct**2)) - ((mchc**2))) - (sqrt(abs(rbc)))) + (log(abs(neut_pct)+1))) - (log(abs(baso_pct)+1))) - (log(abs(eos_pct)+1)),0.014675654356607771,0.016473,0.004997,0.006679,0.026267,
((mono_pct**2)) - ((mchc**2)),0.014678345582405598,0.016468,0.004996,0.006676,0.02626,
(((mcv) + (log(abs(rdw)+1))) / (abs((mchc**2))+1e-6)) / (abs(log(abs(mch)+1))+1e-6),0.014494891761743744,0.016415,0.005055,0.006508,0.026322,
((log(abs(mcv)+1)) / (abs(neut_pct)+1e-6)) - (log(abs(mchc)+1)),0.013838896623844583,0.016311,0.005998,0.004554,0.028068,
((mchc**2)) / (abs(mcv)+1e-6),0.01445152409242525,0.016122,0.004591,0.007123,0.02512,
((log(abs(neut_pct)+1)) + ((mchc**2))) / (abs(sqrt(abs(mcv)))+1e-6),0.014310955165762342,0.016049,0.004873,0.006498,0.0256,
(mchc) / (abs(log(abs(mch)+1))+1e-6),0.014311681073717863,0.015921,0.004387,0.007322,0.02452,
((((((((((((sqrt(abs(rdw))) + (mch)) - ((mono_pct**2))) * (log(abs(hct)+1))) + (neut_pct)) - (sqrt(abs(plt)))) * (lym_pct)) + ((baso_pct**2))) * (wbc)) / (abs(sqrt(abs(rbc)))+1e-6)) * (sqrt(abs(eos_pct)))) / (abs((hgb**2))+1e-6)) / (abs((mcv**2))+1e-6),0.014691904616998309,0.015851,0.003069,0.009836,0.021866,
((log(abs(mchc)+1)) + ((neut_pct**2))) * (sqrt(abs(lym_pct))),0.014408221122726984,0.015682,0.005362,0.005173,0.026191,
(((((mchc**2)) + (log(abs(wbc)+1))) / (abs(mcv)+1e-6)) - (log(abs(mono_pct)+1))) - (rbc),0.014409148928926085,0.015681,0.004396,0.007066,0.024296,
((((((((sqrt(abs(mono_pct))) - (hct)) - ((neut_pct**2))) + (log(abs(mchc)+1))) - (wbc)) - (log(abs(rbc)+1))) * (sqrt(abs(lym_pct)))) + (eos_pct)) - (sqrt(abs(mch))),0.014272006693220202,0.015666,0.005336,0.005207,0.026125,
(((((((((plt) / (abs(hct)+1e-6)) + (log(abs(mcv)+1))) - (mono_pct)) * (sqrt(abs(lym_pct)))) - (sqrt(abs(mch)))) - (log(abs(rdw)+1))) - (sqrt(abs(wbc)))) + (sqrt(abs(hgb)))) * (baso_pct),0.014408656501486192,0.015657,0.002859,0.010053,0.02126,
((((((((((((mono_pct) - ((rdw**2))) / (abs(log(abs(plt)+1))+1e-6)) * (mch)) / (abs(log(abs(mcv)+1))+1e-6)) + (log(abs(mchc)+1))) - ((neut_pct**2))) - (sqrt(abs(hgb)))) * (sqrt(abs(lym_pct)))) + (log(abs(hct)+1))) + ((rbc**2))) + (baso_pct)) - (log(abs(eos_pct)+1)),0.014062477802279236,0.015565,0.005036,0.005694,0.025435,
(((((sqrt(abs(plt))) + (sqrt(abs(lym_pct)))) * ((rbc**2))) - ((hgb**2))) / (abs((rdw**2))+1e-6)) + (mchc),0.013991954771144169,0.015555,0.003781,0.008144,0.022966,
(((((((((((((wbc) / (abs(log(abs(rbc)+1))+1e-6)) * ((eos_pct**2))) * (hgb)) + ((neut_pct**2))) / (abs((rdw**2))+1e-6)) * (lym_pct)) * ((mchc**2))) * (sqrt(abs(plt)))) * (log(abs(mch)+1))) / (abs(sqrt(abs(mono_pct)))+1e-6)) / (abs(log(abs(hct)+1))+1e-6)) / (abs(mcv)+1e-6)) + (baso_pct),0.014581408086700758,0.015523,0.00168,0.01223,0.018816,
(((((((((((((baso_pct) + (log(abs(mchc)+1))) / (abs(hgb)+1e-6)) * ((mono_pct**2))) - (mch)) * (log(abs(eos_pct)+1))) - (lym_pct)) * (sqrt(abs(plt)))) - (neut_pct)) / (abs(sqrt(abs(rdw)))+1e-6)) + (hct)) / (abs(log(abs(wbc)+1))+1e-6)) / (abs(sqrt(abs(mcv)))+1e-6)) + (rbc),0.014421897635923848,0.015511,0.002406,0.010796,0.020227,
((((((sqrt(abs(hgb))) * (sqrt(abs(eos_pct)))) / (abs((mono_pct**2))+1e-6)) * ((rbc**2))) * ((plt**2))) / (abs(mchc)+1e-6)) - (log(abs(baso_pct)+1)),0.014408565304458446,0.015456,0.002439,0.010675,0.020236,
(((((((((((wbc) / (abs(neut_pct)+1e-6)) * ((mch**2))) / (abs((lym_pct**2))+1e-6)) + (sqrt(abs(rbc)))) - (baso_pct)) + (log(abs(mcv)+1))) - (plt)) * ((mchc**2))) / (abs(log(abs(mono_pct)+1))+1e-6)) - (eos_pct)) / (abs((rdw**2))+1e-6),0.014442117236787915,0.015398,0.002322,0.010848,0.019948,
((((((((mch) * ((hgb**2))) * ((rdw**2))) * (wbc)) / (abs((plt**2))+1e-6)) * (log(abs(mcv)+1))) / (abs((eos_pct**2))+1e-6)) * ((mono_pct**2))) - ((neut_pct**2)),0.01416450554057538,0.015321,0.002035,0.011333,0.019309,
(log(abs(mcv)+1)) / (abs(log(abs(mchc)+1))+1e-6),0.013768304181931063,0.015256,0.004457,0.006519,0.023992,
(((((((((((((log(abs(hgb)+1)) + (log(abs(rbc)+1))) / (abs(rdw)+1e-6)) * ((mcv**2))) / (abs((mono_pct**2))+1e-6)) + (wbc)) - (sqrt(abs(baso_pct)))) - (log(abs(hct)+1))) + (log(abs(mch)+1))) * (mchc)) * (plt)) * (log(abs(eos_pct)+1))) * (sqrt(abs(lym_pct)))) * ((neut_pct**2)),0.013780869006860067,0.015174,0.00256,0.010157,0.020192,
(((((((((baso_pct**2)) * (sqrt(abs(eos_pct)))) / (abs(mchc)+1e-6)) - (sqrt(abs(neut_pct)))) - (log(abs(rdw)+1))) - (plt)) / (abs(sqrt(abs(hct)))+1e-6)) + ((mono_pct**2))) / (abs(mch)+1e-6),0.014271793284139748,0.015168,0.002337,0.010587,0.019749,
(((((((((mch) / (abs((mono_pct**2))+1e-6)) * (log(abs(eos_pct)+1))) / (abs(log(abs(wbc)+1))+1e-6)) * ((plt**2))) * (sqrt(abs(baso_pct)))) - (lym_pct)) - (log(abs(rdw)+1))) / (abs(sqrt(abs(mcv)))+1e-6)) / (abs(sqrt(abs(neut_pct)))+1e-6),0.01401611538278369,0.015162,0.001838,0.011559,0.018764,
((((((((((((((baso_pct**2)) - (sqrt(abs(wbc)))) * (log(abs(rdw)+1))) - ((neut_pct**2))) / (abs(sqrt(abs(mono_pct)))+1e-6)) - ((hgb**2))) * (log(abs(plt)+1))) * (log(abs(eos_pct)+1))) + (hct)) / (abs(sqrt(abs(mchc)))+1e-6)) + (log(abs(rbc)+1))) + (log(abs(mch)+1))) * (lym_pct)) * (log(abs(mcv)+1)),0.013813691510467966,0.015129,0.002555,0.010122,0.020137,
(((log(abs(wbc)+1)) / (abs(eos_pct)+1e-6)) / (abs(log(abs(lym_pct)+1))+1e-6)) + (sqrt(abs(mono_pct))),0.013935647019772809,0.015118,0.003274,0.008702,0.021534,
(((((sqrt(abs(mchc))) - (sqrt(abs(rbc)))) + (log(abs(lym_pct)+1))) + (log(abs(hgb)+1))) / (abs(log(abs(mono_pct)+1))+1e-6)) * (sqrt(abs(plt))),0.014143578493912892,0.015108,0.001861,0.01146,0.018757,
(((((((((((baso_pct**2)) - (log(abs(mch)+1))) / (abs(rdw)+1e-6)) - (wbc)) / (abs((mono_pct**2))+1e-6)) * ((lym_pct**2))) * ((plt**2))) + ((mcv**2))) + (log(abs(rbc)+1))) / (abs(hgb)+1e-6)) - (sqrt(abs(mchc))),0.014180640225074188,0.01495,0.00105,0.012892,0.017009,
((((((((eos_pct**2)) + (log(abs(wbc)+1))) + ((plt**2))) / (abs(rbc)+1e-6)) + (log(abs(baso_pct)+1))) - (neut_pct)) / (abs((rdw**2))+1e-6)) + ((mchc**2)),0.014089791585142983,0.014917,0.002013,0.010972,0.018862,
((((((eos_pct**2)) - (neut_pct)) + (log(abs(lym_pct)+1))) - ((mchc**2))) - (plt)) - (wbc),0.014012581365777356,0.014894,0.002243,0.010498,0.01929,
((((((neut_pct) - (log(abs(lym_pct)+1))) / (abs(sqrt(abs(wbc)))+1e-6)) - (rbc)) - ((mchc**2))) + (baso_pct)) - (plt),0.013986111498528271,0.014858,0.002193,0.010559,0.019157,
((((((((mono_pct**2)) + (wbc)) - (sqrt(abs(plt)))) - (lym_pct)) / (abs(sqrt(abs(rdw)))+1e-6)) * (log(abs(mchc)+1))) * (rbc)) - (mch),0.013878713323898529,0.014804,0.0029,0.009121,0.020488,
((((((((lym_pct**2)) / (abs(mchc)+1e-6)) * ((plt**2))) / (abs((mono_pct**2))+1e-6)) * (log(abs(rbc)+1))) / (abs(hct)+1e-6)) + (sqrt(abs(wbc)))) - (log(abs(neut_pct)+1)),0.013988426582751888,0.014773,0.001171,0.012477,0.017068,
((((sqrt(abs(wbc))) + (sqrt(abs(plt)))) - (log(abs(mch)+1))) - (mono_pct)) / (abs(sqrt(abs(rdw)))+1e-6),0.013896205266065942,0.014723,0.002155,0.0105,0.018946,
((((((((((((log(abs(hct)+1)) + ((baso_pct**2))) / (abs(log(abs(mch)+1))+1e-6)) * (log(abs(wbc)+1))) * (sqrt(abs(mchc)))) + (sqrt(abs(rbc)))) / (abs(sqrt(abs(eos_pct)))+1e-6)) - (sqrt(abs(mcv)))) - (log(abs(plt)+1))) + ((mono_pct**2))) - (sqrt(abs(lym_pct)))) + (hgb)) / (abs(rdw)+1e-6),0.013787113269119824,0.014581,0.002458,0.009763,0.019399,
