formula,auc_roc,auc_pr,precision,recall,f1,f2,precision_at_recall_25,precision_at_recall_50,precision_at_recall_75,num_features
(((((((((((((log(abs(eos_pct)+1)) * (log(abs(mch)+1))) * (sqrt(abs(mcv)))) * (log(abs(plt)+1))) + (log(abs(rbc)+1))) * (baso_pct)) + (neut_pct)) * ((wbc**2))) + (mchc)) * (sqrt(abs(mono_pct)))) / (abs(sqrt(abs(lym_pct)))+1e-6)) - (sqrt(abs(rdw)))) * (hgb)) + (hct),0.604,0.018,0.004,0.6296,0.008,0.0197,0.0067,0.0049,0.0039,14
((((((((((((mch**2)) / (abs(eos_pct)+1e-6)) / (abs(sqrt(abs(mono_pct)))+1e-6)) + (mchc)) / (abs(log(abs(baso_pct)+1))+1e-6)) - ((mcv**2))) + (neut_pct)) * (sqrt(abs(rbc)))) + (sqrt(abs(rdw)))) * (log(abs(hct)+1))) + ((hgb**2))) / (abs(log(abs(plt)+1))+1e-6),0.6067,0.0179,0.0049,0.6296,0.0097,0.0237,0.0043,0.0054,0.0041,12
((((((((((((sqrt(abs(baso_pct))) * (hct)) + (sqrt(abs(mch)))) * (mono_pct)) + ((neut_pct**2))) - (sqrt(abs(hgb)))) / (abs(sqrt(abs(mchc)))+1e-6)) * (rdw)) - (sqrt(abs(eos_pct)))) / (abs(log(abs(plt)+1))+1e-6)) * (log(abs(mcv)+1))) / (abs((rbc**2))+1e-6)) * ((wbc**2)),0.5355,0.0179,0.0041,0.2222,0.0081,0.0191,0.0042,0.0036,0.0033,13
(((((((((((((sqrt(abs(baso_pct))) + ((wbc**2))) - (hct)) * (plt)) * ((hgb**2))) * (sqrt(abs(rdw)))) + (sqrt(abs(neut_pct)))) + ((mono_pct**2))) / (abs(sqrt(abs(mcv)))+1e-6)) * (mchc)) + ((eos_pct**2))) / (abs(mch)+1e-6)) / (abs((rbc**2))+1e-6)) + ((lym_pct**2)),0.5117,0.0173,0.0045,0.3333,0.0088,0.0212,0.0053,0.0034,0.0031,14
(((((((((rdw) - (plt)) - (sqrt(abs(hgb)))) / (abs(log(abs(hct)+1))+1e-6)) * (sqrt(abs(mchc)))) + (mch)) * (rbc)) / (abs(log(abs(neut_pct)+1))+1e-6)) / (abs(mcv)+1e-6)) - (mono_pct),0.5355,0.0173,0.0037,0.5556,0.0074,0.018,0.005,0.0038,0.0039,10
((((((((log(abs(hgb)+1)) / (abs(rbc)+1e-6)) + (log(abs(lym_pct)+1))) + (log(abs(neut_pct)+1))) - (log(abs(mcv)+1))) / (abs((baso_pct**2))+1e-6)) * (sqrt(abs(hct)))) / (abs(mchc)+1e-6)) + ((eos_pct**2)),0.5478,0.0172,0.0059,0.1481,0.0114,0.0256,0.005,0.0041,0.0034,9
((((((((((((mcv) - ((mch**2))) * (log(abs(mchc)+1))) / (abs(sqrt(abs(plt)))+1e-6)) * (neut_pct)) - (eos_pct)) + (sqrt(abs(wbc)))) + (rdw)) - ((lym_pct**2))) - (sqrt(abs(mono_pct)))) / (abs(hct)+1e-6)) - (sqrt(abs(rbc)))) + (log(abs(hgb)+1)),0.5559,0.0172,0.0038,0.1111,0.0074,0.0168,0.0036,0.0043,0.0036,13
(((((((((rdw) - (sqrt(abs(hct)))) - (log(abs(lym_pct)+1))) - (log(abs(hgb)+1))) * (sqrt(abs(mch)))) / (abs(log(abs(neut_pct)+1))+1e-6)) / (abs(sqrt(abs(plt)))+1e-6)) - (log(abs(wbc)+1))) - (log(abs(eos_pct)+1))) * ((mchc**2)),0.5857,0.0171,0.0042,0.7407,0.0083,0.0203,0.0054,0.004,0.0041,10
((((((((log(abs(wbc)+1)) - (sqrt(abs(hgb)))) / (abs(hct)+1e-6)) + (log(abs(baso_pct)+1))) - (neut_pct)) / (abs(rdw)+1e-6)) - (rbc)) - (mono_pct)) / (abs(mch)+1e-6),0.5734,0.0169,0.0055,0.5185,0.0109,0.0265,0.0063,0.0055,0.004,9
(((((((((((((mch) - (sqrt(abs(neut_pct)))) - (log(abs(hgb)+1))) * (mcv)) * (log(abs(mchc)+1))) + (log(abs(lym_pct)+1))) / (abs(mono_pct)+1e-6)) - (log(abs(rbc)+1))) + (hct)) + (sqrt(abs(rdw)))) - (sqrt(abs(plt)))) + ((wbc**2))) - ((baso_pct**2))) / (abs(sqrt(abs(eos_pct)))+1e-6),0.5811,0.0167,0.0043,0.5556,0.0086,0.0211,0.0036,0.0044,0.0039,14
((((((((((((log(abs(hct)+1)) + (mchc)) * (mono_pct)) * (sqrt(abs(mch)))) + (rdw)) / (abs(sqrt(abs(plt)))+1e-6)) * (hgb)) + (sqrt(abs(wbc)))) + (rbc)) * (lym_pct)) + ((eos_pct**2))) + ((neut_pct**2))) - ((baso_pct**2)),0.583,0.0167,0.0045,0.4815,0.009,0.0218,0.0045,0.0046,0.0039,13
(((((((log(abs(hgb)+1)) + (lym_pct)) + ((neut_pct**2))) * (log(abs(eos_pct)+1))) * (log(abs(baso_pct)+1))) - (log(abs(mcv)+1))) - ((rbc**2))) - (sqrt(abs(plt))),0.562,0.0166,0.0034,0.2963,0.0067,0.0163,0.0039,0.0039,0.0037,8
(((((((mcv) - (neut_pct)) / (abs(eos_pct)+1e-6)) + (log(abs(rdw)+1))) - (baso_pct)) / (abs(sqrt(abs(mono_pct)))+1e-6)) + (sqrt(abs(lym_pct)))) + (log(abs(mch)+1)),0.5398,0.0165,0.0035,0.2593,0.0069,0.0166,0.0038,0.0039,0.0033,8
((((((sqrt(abs(neut_pct))) * (sqrt(abs(hct)))) + ((baso_pct**2))) - (sqrt(abs(mono_pct)))) - (log(abs(eos_pct)+1))) + (lym_pct)) * (mcv),0.5575,0.0164,0.0037,0.5926,0.0073,0.0179,0.0037,0.0039,0.0036,7
(((((((((((((sqrt(abs(lym_pct))) * ((mch**2))) / (abs(sqrt(abs(eos_pct)))+1e-6)) * ((neut_pct**2))) + (mcv)) * (log(abs(hct)+1))) * (sqrt(abs(hgb)))) * (mono_pct)) - (rbc)) / (abs((wbc**2))+1e-6)) * ((plt**2))) * (log(abs(rdw)+1))) + (baso_pct)) * ((mchc**2)),0.5323,0.0164,0.0038,0.5556,0.0076,0.0185,0.005,0.0038,0.0035,14
