formula,train_auc_pr,cv_auc_pr_mean,cv_auc_pr_std,cv_auc_pr_ci95_low,cv_auc_pr_ci95_high,frozen_test_auc_pr
((((((((baso_pct**2)) * ((wbc**2))) / (abs(neut_pct)+1e-6)) - ((mono_pct**2))) + (mcv)) / (abs(sqrt(abs(hgb)))+1e-6)) * (sqrt(abs(lym_pct)))) * ((plt**2)),0.006253147178020524,0.007938,0.003141,0.001782,0.014095,
(((((((((((((neut_pct**2)) + ((baso_pct**2))) / (abs(log(abs(wbc)+1))+1e-6)) + (log(abs(hct)+1))) * (log(abs(mcv)+1))) - (hgb)) - (plt)) + ((eos_pct**2))) - (log(abs(mono_pct)+1))) / (abs(sqrt(abs(rbc)))+1e-6)) + (log(abs(mchc)+1))) * (log(abs(lym_pct)+1))) / (abs(sqrt(abs(mch)))+1e-6),0.006234920299250618,0.007933,0.003796,0.000493,0.015372,
(((((((((((hct) * ((mono_pct**2))) * (rdw)) / (abs(lym_pct)+1e-6)) + (log(abs(mcv)+1))) - (neut_pct)) / (abs(plt)+1e-6)) - (mchc)) / (abs(sqrt(abs(mch)))+1e-6)) + (rbc)) * (sqrt(abs(hgb)))) + (log(abs(wbc)+1)),0.0066979196244832985,0.007918,0.002163,0.003678,0.012158,
((((((((((((neut_pct) / (abs(eos_pct)+1e-6)) + (log(abs(hgb)+1))) + (sqrt(abs(mchc)))) + (wbc)) + (mch)) + (plt)) - (log(abs(rdw)+1))) + (log(abs(mcv)+1))) / (abs(sqrt(abs(hct)))+1e-6)) / (abs(sqrt(abs(baso_pct)))+1e-6)) * (sqrt(abs(mono_pct)))) + (sqrt(abs(rbc))),0.007722025243439185,0.007908,0.006017,-0.003885,0.0197,
(((((((((((((hgb**2)) - (sqrt(abs(mcv)))) / (abs(log(abs(rbc)+1))+1e-6)) / (abs(sqrt(abs(mchc)))+1e-6)) * ((mono_pct**2))) + (log(abs(hct)+1))) * (sqrt(abs(wbc)))) + ((eos_pct**2))) / (abs(sqrt(abs(mch)))+1e-6)) - (log(abs(lym_pct)+1))) - ((baso_pct**2))) - (sqrt(abs(plt)))) + (sqrt(abs(rdw))),0.006415575158057721,0.007863,0.001696,0.004539,0.011187,
((((((((((((baso_pct**2)) / (abs(plt)+1e-6)) / (abs((hgb**2))+1e-6)) + (neut_pct)) / (abs((rbc**2))+1e-6)) / (abs(log(abs(rdw)+1))+1e-6)) - (mono_pct)) / (abs(sqrt(abs(mcv)))+1e-6)) * ((hct**2))) - (log(abs(mchc)+1))) - ((wbc**2))) / (abs(mch)+1e-6),0.00628161871663936,0.00786,0.00391,0.000197,0.015524,
((((((((((lym_pct) / (abs((hct**2))+1e-6)) / (abs(log(abs(rdw)+1))+1e-6)) + ((eos_pct**2))) - (neut_pct)) / (abs(hgb)+1e-6)) / (abs((mcv**2))+1e-6)) / (abs(log(abs(baso_pct)+1))+1e-6)) / (abs(mch)+1e-6)) / (abs((mono_pct**2))+1e-6)) / (abs(plt)+1e-6),0.006223523803285594,0.007778,0.004171,-0.000398,0.015953,
(((sqrt(abs(mcv))) / (abs(log(abs(lym_pct)+1))+1e-6)) + (log(abs(mch)+1))) / (abs((neut_pct**2))+1e-6),0.006581518773076384,0.007657,0.000994,0.005709,0.009605,
((((((((((((sqrt(abs(plt))) * (log(abs(mchc)+1))) * ((baso_pct**2))) - (mch)) * (log(abs(rdw)+1))) - (sqrt(abs(mcv)))) * (sqrt(abs(eos_pct)))) / (abs(neut_pct)+1e-6)) + ((mono_pct**2))) / (abs(lym_pct)+1e-6)) + (sqrt(abs(wbc)))) * (sqrt(abs(hct)))) - (log(abs(rbc)+1)),0.006550036960759776,0.007568,0.002161,0.003334,0.011803,
(((log(abs(plt)+1)) / (abs(log(abs(rbc)+1))+1e-6)) / (abs(log(abs(mono_pct)+1))+1e-6)) / (abs(log(abs(wbc)+1))+1e-6),0.00633158953849303,0.007297,0.00215,0.003083,0.01151,
((((((((((neut_pct**2)) - (log(abs(baso_pct)+1))) / (abs(sqrt(abs(rbc)))+1e-6)) - ((mcv**2))) - (log(abs(mch)+1))) * (sqrt(abs(mono_pct)))) - (sqrt(abs(eos_pct)))) / (abs((mchc**2))+1e-6)) - (hgb)) * (sqrt(abs(wbc))),0.00622495550304015,0.007261,0.002479,0.002402,0.01212,
((((sqrt(abs(lym_pct))) * ((neut_pct**2))) / (abs(sqrt(abs(mchc)))+1e-6)) - (eos_pct)) / (abs(sqrt(abs(mch)))+1e-6),0.006245481366410496,0.007196,0.001835,0.003599,0.010793,
((hgb) + (mono_pct)) * (sqrt(abs(wbc))),0.006241423505061411,0.007129,0.002076,0.003061,0.011198,
((((sqrt(abs(mono_pct))) * (rbc)) / (abs(sqrt(abs(lym_pct)))+1e-6)) / (abs((neut_pct**2))+1e-6)) / (abs(log(abs(mchc)+1))+1e-6),0.006313714075215326,0.006947,0.000983,0.00502,0.008875,
(log(abs(mch)+1)) / (abs(log(abs(mcv)+1))+1e-6),0.008131213888698252,0.003638,0.000524,0.002612,0.004665,
