formula,train_auc_pr,cv_auc_pr_mean,cv_auc_pr_std,cv_auc_pr_ci95_low,cv_auc_pr_ci95_high,frozen_test_auc_pr
(((((wbc) + (sqrt(abs(hgb)))) / (abs(sqrt(abs(rbc)))+1e-6)) + (log(abs(rdw)+1))) / (abs(mchc)+1e-6)) / (abs((plt**2))+1e-6),0.016788860209760836,0.017944,0.002765,0.012525,0.023363,
((((((mch**2)) - (rbc)) + (log(abs(hgb)+1))) - ((mchc**2))) - (plt)) - (wbc),0.016485704645856532,0.017703,0.002683,0.012445,0.022961,
((((((((log(abs(hgb)+1)) - (rdw)) / (abs(hct)+1e-6)) / (abs(log(abs(wbc)+1))+1e-6)) / (abs(sqrt(abs(rbc)))+1e-6)) - ((mchc**2))) / (abs(log(abs(mch)+1))+1e-6)) * ((plt**2))) / (abs((mcv**2))+1e-6),0.016704485178550485,0.017684,0.002843,0.012112,0.023256,
(((((((sqrt(abs(mch))) * (hct)) - (hgb)) / (abs(sqrt(abs(plt)))+1e-6)) + (sqrt(abs(wbc)))) + (sqrt(abs(mcv)))) - (sqrt(abs(mchc)))) - (rbc),0.01645590440011941,0.017681,0.00335,0.011116,0.024247,
(((((((sqrt(abs(mcv))) * (log(abs(hct)+1))) + (log(abs(rdw)+1))) / (abs(log(abs(hgb)+1))+1e-6)) + (sqrt(abs(wbc)))) - (log(abs(mch)+1))) + (sqrt(abs(rbc)))) - (sqrt(abs(plt))),0.016768741632268287,0.017653,0.002468,0.012815,0.022491,
((((((plt**2)) + ((rbc**2))) - (log(abs(hct)+1))) / (abs(sqrt(abs(wbc)))+1e-6)) / (abs(log(abs(mch)+1))+1e-6)) * (sqrt(abs(mchc))),0.01652576184785408,0.017644,0.002734,0.012286,0.023002,
(((((((log(abs(mch)+1)) * (rbc)) * (log(abs(hgb)+1))) / (abs(log(abs(mchc)+1))+1e-6)) - (log(abs(wbc)+1))) - ((mcv**2))) * (rdw)) / (abs((plt**2))+1e-6),0.016502707195958782,0.017539,0.002656,0.012333,0.022745,
(((((((log(abs(mch)+1)) * ((hct**2))) / (abs(sqrt(abs(mchc)))+1e-6)) + ((plt**2))) / (abs(wbc)+1e-6)) - ((mcv**2))) / (abs(sqrt(abs(rdw)))+1e-6)) / (abs(sqrt(abs(hgb)))+1e-6),0.01651259390941518,0.017517,0.002217,0.013172,0.021862,
(((((((((plt**2)) - (log(abs(hgb)+1))) / (abs(sqrt(abs(wbc)))+1e-6)) / (abs((mcv**2))+1e-6)) * (log(abs(rbc)+1))) * (rdw)) * (sqrt(abs(hct)))) * (log(abs(mch)+1))) * (log(abs(mchc)+1)),0.016537308510620137,0.017506,0.002985,0.011656,0.023356,
(((((((sqrt(abs(mch))) - (log(abs(mcv)+1))) * (sqrt(abs(rbc)))) / (abs((hgb**2))+1e-6)) * (hct)) - (sqrt(abs(plt)))) * (sqrt(abs(mchc)))) + (wbc),0.01648635474935764,0.017488,0.002263,0.013054,0.021923,
