formula,auc_roc,auc_pr,precision,recall,f1,f2,precision_at_recall_25,precision_at_recall_50,precision_at_recall_75,num_features
((((((((log(abs(wbc)+1)) / (abs(sqrt(abs(rdw)))+1e-6)) + ((mchc**2))) + (hgb)) + (log(abs(rbc)+1))) + ((plt**2))) * (log(abs(mch)+1))) / (abs((mcv**2))+1e-6)) / (abs((hct**2))+1e-6),0.6333,0.0219,0.0151,0.4947,0.0293,0.0672,0.0209,0.016,0.0128,9
(mcv) / (abs(sqrt(abs(plt)))+1e-6),0.6304,0.0218,0.0143,0.4806,0.0278,0.0639,0.0226,0.0147,0.013,2
((((sqrt(abs(hct))) - (log(abs(rbc)+1))) * (log(abs(mch)+1))) + (mcv)) / (abs(log(abs(plt)+1))+1e-6),0.6252,0.0218,0.0136,0.5689,0.0266,0.0622,0.0203,0.0153,0.0131,5
((((((mch**2)) - (rbc)) + (log(abs(hgb)+1))) - ((mchc**2))) - (plt)) - (wbc),0.626,0.0218,0.0152,0.4735,0.0294,0.0672,0.0222,0.0155,0.0127,6
(((((((log(abs(hgb)+1)) - ((mcv**2))) / (abs(log(abs(mchc)+1))+1e-6)) - ((mch**2))) / (abs(sqrt(abs(plt)))+1e-6)) * (rdw)) + (hct)) - (sqrt(abs(wbc))),0.615,0.0218,0.0144,0.4806,0.028,0.0644,0.0218,0.0148,0.0123,8
(((mcv**2)) - (log(abs(mch)+1))) / (abs(plt)+1e-6),0.6304,0.0218,0.0143,0.4806,0.0278,0.0639,0.0226,0.0147,0.013,3
(((((log(abs(hgb)+1)) * (log(abs(mchc)+1))) * (log(abs(mcv)+1))) * (log(abs(rdw)+1))) / (abs(log(abs(plt)+1))+1e-6)) + (sqrt(abs(hct))),0.5942,0.0216,0.013,0.6007,0.0255,0.0599,0.0159,0.0134,0.0113,6
((((((((log(abs(hgb)+1)) - (rdw)) / (abs(hct)+1e-6)) / (abs(log(abs(wbc)+1))+1e-6)) / (abs(sqrt(abs(rbc)))+1e-6)) - ((mchc**2))) / (abs(log(abs(mch)+1))+1e-6)) * ((plt**2))) / (abs((mcv**2))+1e-6),0.6397,0.0216,0.0152,0.53,0.0296,0.0682,0.024,0.0153,0.0134,9
(((((((mcv**2)) - (sqrt(abs(mch)))) - (log(abs(hgb)+1))) / (abs(sqrt(abs(rdw)))+1e-6)) * ((hct**2))) - (sqrt(abs(rbc)))) / (abs((plt**2))+1e-6),0.6311,0.0216,0.0151,0.5265,0.0294,0.0679,0.0204,0.0155,0.0127,7
(((((((sqrt(abs(mchc))) + (plt)) - (hct)) / (abs(log(abs(wbc)+1))+1e-6)) - (log(abs(rdw)+1))) / (abs((mcv**2))+1e-6)) * (hgb)) / (abs(rbc)+1e-6),0.6383,0.0215,0.0152,0.5512,0.0295,0.0683,0.0261,0.0161,0.0132,8
((hgb) / (abs(sqrt(abs(plt)))+1e-6)) * ((mcv**2)),0.6072,0.0215,0.0132,0.5406,0.0257,0.06,0.0188,0.0149,0.0119,3
((((log(abs(mchc)+1)) / (abs(wbc)+1e-6)) + (mcv)) + (log(abs(hgb)+1))) / (abs(log(abs(plt)+1))+1e-6),0.6238,0.0215,0.0136,0.6184,0.0267,0.0627,0.0201,0.015,0.013,5
(((((((sqrt(abs(rdw))) - (hct)) * (rbc)) - ((mchc**2))) + ((wbc**2))) * (sqrt(abs(plt)))) + ((hgb**2))) / (abs((mcv**2))+1e-6),0.6252,0.0215,0.0149,0.5124,0.029,0.0668,0.021,0.0156,0.0128,8
((((((sqrt(abs(rdw))) * (log(abs(mchc)+1))) * (log(abs(mch)+1))) - ((rbc**2))) / (abs(hgb)+1e-6)) - (sqrt(abs(plt)))) / (abs(hct)+1e-6),0.6363,0.0214,0.0155,0.5018,0.03,0.0689,0.0214,0.0162,0.0128,7
(((((((hct) * (mch)) * (sqrt(abs(rbc)))) - (log(abs(rdw)+1))) / (abs(sqrt(abs(hgb)))+1e-6)) + (log(abs(mcv)+1))) / (abs(plt)+1e-6)) / (abs(mchc)+1e-6),0.6375,0.0214,0.015,0.5124,0.0292,0.0672,0.022,0.0159,0.0129,8
(((((((log(abs(hct)+1)) * (mcv)) + (mch)) - (log(abs(wbc)+1))) * ((mchc**2))) * ((rdw**2))) + (rbc)) / (abs(sqrt(abs(plt)))+1e-6),0.5728,0.0214,0.0121,0.4558,0.0237,0.0549,0.0162,0.0123,0.011,8
((((((log(abs(hgb)+1)) - (sqrt(abs(wbc)))) * (sqrt(abs(mch)))) + ((mchc**2))) + (sqrt(abs(rdw)))) - ((rbc**2))) * (sqrt(abs(plt))),0.656,0.0214,0.0173,0.5512,0.0336,0.077,0.0203,0.0175,0.0137,7
((((sqrt(abs(hgb))) * ((mcv**2))) + (log(abs(rbc)+1))) / (abs((plt**2))+1e-6)) * (sqrt(abs(mch))),0.6265,0.0213,0.0146,0.5124,0.0284,0.0655,0.0214,0.0146,0.0126,5
((((((((rdw) * ((rbc**2))) / (abs((hct**2))+1e-6)) / (abs(mch)+1e-6)) + (log(abs(mchc)+1))) / (abs(wbc)+1e-6)) - (sqrt(abs(plt)))) + (sqrt(abs(hgb)))) / (abs((mcv**2))+1e-6),0.6278,0.0213,0.014,0.4947,0.0272,0.0628,0.0208,0.0146,0.0131,9
(sqrt(abs(plt))) * ((mchc**2)),0.6548,0.0213,0.017,0.5548,0.0329,0.0755,0.0195,0.0176,0.0135,2
